doi,title,year,decision,reason,journal
10.4067/s0718-58392019000300435,"Co-application of soil superabsorbent polymer and foliar fulvic acid to increase tolerance to water deficit maize",2019,INCLUDE,Soil superabsorbent polymer + FA applied; FA applied foliar; if FA is isolated as one factor level vs no-FA: INCLUDE; maize yield reported; needs confirmation of FA isolation,Chilean Journal of Agricultural Research
10.3390/plants13233380,"Evaluation of Two Different Methods of Fulvic Acid Application (Seed Priming and Foliar Spray) on Growth Yield and Nutritional Quality of Pea",2024,INCLUDE,FA applied via seed priming and foliar spray to pea; yield reported; FA isolated vs control; two application methods; INCLUDE,Plants
10.18393/ejss.1197785,"Effect of humic substances on yield and nutrient contents of Eggplant Santana plants in gray-brown soil",2022,INCLUDE,HA applied to eggplant; yield and nutrient contents reported; HA isolated variable vs control; vegetable crop acceptable,Eurasian Journal of Soil Science
10.1080/15440478.2016.1167648,"Effects of Humic Substances Obtained from Shives on Flax Yield Characteristics",2016,INCLUDE,HA from shives applied to flax; yield characteristics reported; HA isolated vs control; fiber crop acceptable for biomass yield,Journal of Natural Fibers
10.18286/1816-4501-2021-1-55-59,"Productivity structure of Moscovskaya 39 winter wheat variety depending on treatment with bio- and humic products",2021,UNSURE,Bio- and humic products applied to winter wheat; productivity reported; HA co-applied with bio-products; needs full text to determine if HA is isolated,Vestnik of Ulyanovsk State Agricultural Academy
10.21608/fjard.2019.190241,"Influence of Addition Methods of Fulvic Acid and Foliar Spray with Potassium Sources on Productivity and Quality of Potato Crop",2019,INCLUDE,FA applied via different methods to potato; productivity and quality reported; FA isolated vs control within K treatments; factorial acceptable,Fayoum Journal of Agricultural Research and Development
,Rice productivity and its inner quality as affected by anhydrous ammonia rates with foliar application of organic acids,2013,INCLUDE,Organic acids (fulvic acid) applied foliar to rice; rice productivity reported; FA isolated variable within N rate treatment; INCLUDE for yield rows,Advances in Applied Science Research
10.21608/asejaiqjsae.2020.93900,"Effects of Different Nitrogen Fertilization Rates and Foliar Application of Humic Acid Fulvic Acid and Tryptophan on Growth Productivity and Chemical Composition of Common Bean Plants",2020,INCLUDE,HA and FA applied foliar to common bean at different N rates; productivity reported; HA/FA isolated within N levels; factorial acceptable,Alexandria Science Exchange Journal
10.2134/cftm2018.07.0053,"Application of a Formulated Humic Product Can Increase Soybean Yield",2019,INCLUDE,Humic product applied to soybean; soybean yield reported; HA isolated vs control; OA Crop Forage and Turfgrass Management; clear T/C structure,Crop Forage and Turfgrass Management
10.21608/jpp.2020.84607,"Response of Potato Growth Yield and Quality to Fulvic Acid and Biochar Applications under Different Levels of Chemical Fertilization",2020,UNSURE,FA + biochar applied to potato; yield and quality reported; FA co-applied with biochar; needs full text to determine if FA-only arm exists,Journal of Plant Production
10.1007/s13165-023-00437-2,"Effect of fulvic acid on yield performance of organic bell pepper under open-field conditions in Tennessee",2023,INCLUDE,FA applied to organic bell pepper in open field; yield performance reported; FA isolated vs control; field experiment; INCLUDE,Organic Agriculture
10.1038/s41598-025-04747-1,"Boron bioavailability enhanced by foliar applied fulvic acid to improve grain yield and quality of fine basmati rice",2025,INCLUDE,FA applied foliar alongside B to rice; grain yield and quality reported; FA isolated within B treatment; grain yield primary outcome; OA Scientific Reports,Scientific Reports
10.5513/jcea01/18.3.1933,"The effects of fulvic acid application on seed and oil yield of safflower cultivars",2017,INCLUDE,FA applied to safflower cultivars; seed and oil yield reported; FA isolated vs control; oilseed crop acceptable,Journal of Central European Agriculture
10.17221/4/2010-swr,"Effect of different levels of humic acids on the nutrient content plant growth and soil properties under conditions of salinity",2011,INCLUDE,HA applied at different levels to plants under salinity; plant growth outcomes reported; HA isolated vs control; dose-response design,Soil and Water Research
10.3390/agronomy6040050,"Commercial Humates in Agriculture: Real Substance or Smoke and Mirrors?",2016,EXCLUDE,Critical review of commercial humate products in agriculture; no primary experiment data; review article,Agronomy
10.3390/agronomy9080445,"Metabolite-Targeted Analysis and Physiological Traits of Zea mays L. in Response to Application of a Leonardite-Humate and Lignosulfonate-Based Products",2019,EXCLUDE,Primary outcomes are metabolite profiles and physiological traits not yield; no grain yield measurement stated; off-target for yield synthesis,Agronomy
10.3389/fsufs.2022.977121,"Impacts of humic-based products on the microbial community structure and functions toward sustainable agriculture",2022,EXCLUDE,Review/perspective on microbial community effects of HA products; no primary yield trial,Frontiers in Sustainable Food Systems
,Effects of Leonardite Applications on Yield and Some Quality Parameters of Potatoes,2013,INCLUDE,Leonardite (HA source) applied to potato; yield and quality parameters reported; HA isolated vs control; INCLUDE,DergiPark (Istanbul University)
10.5897/ijbmbr2014.0186,"Effect of humic acid application on accumulation of mineral nutrition and pungency in garlic",2014,EXCLUDE,Primary outcomes are mineral nutrition accumulation and pungency not yield; garlic is acceptable crop but outcome is not yield; exclude,International Journal for Biotechnology and Molecular Biology Research
10.3389/fenvs.2019.00080,"Outlining the Potential Role of Humic Products in Modifying Biological Properties of the Soil — A Review",2019,EXCLUDE,Review of HA effects on soil biology; no primary yield trial,Frontiers in Environmental Science
10.15835/nbha3915812,"The Effects of Soil-Applied Humic Substances to the Dry Weight and Mineral Nutrient Uptake of Maize Plants under Soil-Salinity Conditions",2011,INCLUDE,HA applied to maize under salinity conditions; dry weight (yield proxy) and nutrient uptake reported; HA isolated vs control; INCLUDE for dry weight rows only,Notulae Botanicae Horti Agrobotanici Cluj-Napoca
10.3390/agronomy12030584,"Application of Humic Substances in Agricultural Industry",2022,EXCLUDE,Review of HA applications in agriculture; no primary experiment data,Agronomy
10.5194/se-6-1231-2015,"Influence of humic acid applications on modulus of rupture aggregate stability electrical conductivity carbon and nitrogen content of a crusting problem soil",2015,EXCLUDE,Primary outcomes are soil physical properties (modulus of rupture, aggregate stability, EC) not crop yield; no yield measurement reported,Solid Earth
10.3390/life13020448,"Application of Potassium Humate and Salicylic Acid to Mitigate Salinity Stress of Common Bean",2023,INCLUDE,K-humate applied to common bean under salinity stress; bean productivity reported; HA isolated within SA treatments (if factorial); INCLUDE,Life
10.1186/2193-1801-3-156,"The physico-chemical properties and biostimulative activities of humic substances regenerated from lignite",2014,EXCLUDE,Characterization study of HA properties and bioassay activities; no crop yield trial; laboratory/bioassay study,SpringerPlus
10.4236/ajps.2014.515241,"Evaluation of Humic Acid Application Methods for Yield and Yield Components of Mungbean",2014,INCLUDE,HA applied to mungbean by different application methods; yield and yield components reported; HA isolated vs control; INCLUDE for yield rows,American Journal of Plant Sciences
10.4236/as.2014.58072,"Physiological Role of Humic Acid and Nicotinamide on Improving Plant Growth Yield and Mineral Nutrient of Wheat Grown under Newly Reclaimed Sandy Soil",2014,UNSURE,HA + nicotinamide applied to wheat; yield reported; HA co-applied with nicotinamide; needs full text to determine if HA-only arm exists at same nicotinamide level,Agricultural Sciences
10.3390/agronomy10121891,"Foliar Application of Humic-Stabilized Nanoferrihydrite Resulted in an Increase in the Content of Iron in Wheat Leaves",2020,EXCLUDE,Primary outcome is iron content of wheat leaves not grain yield; HA-stabilized nanoferrihydrite is an Fe delivery system not a yield treatment; off-target outcome,Agronomy
10.1186/s40538-016-0071-7,"Incorporation of humic-derived active molecules into compound NPK granulated fertilizers",2016,EXCLUDE,Formulation science paper on incorporating HA into NPK granules; no field yield trial; technical paper,Chemical and Biological Technologies in Agriculture
10.3389/fpls.2021.736613,"Dose-Dependent Application of Straw-Derived Fulvic Acid on Yield and Quality of Tomato Plants Grown in a Greenhouse",2021,INCLUDE,FA applied at multiple doses to tomato in greenhouse; yield and quality reported; FA isolated vs control; dose-response design; greenhouse acceptable per config,Frontiers in Plant Science
10.17503/agrivita-2015-37-2-p185-192,"Determination of Urea-Humic Acid Dosage of Vertisols on the Growth and Production of Rice",2015,INCLUDE,Urea-HA compound applied at different doses to rice on Vertisols; rice production reported; HA isolated within urea formula vs urea alone; INCLUDE,AGRIVITA Journal of Agricultural Science
10.3329/bjb.v43i2.21671,"Effects of potassium humate and chemical fertilizers on growth yield and quality of rice",2015,INCLUDE,K-humate applied to rice alongside chemical fertilizers; yield and quality reported; HA isolated within fertilizer treatment; INCLUDE,Bangladesh Journal of Botany
10.21608/jpp.2018.35707,"Effect of Potassium Humate and Nitrogen Fertilization on Yield and Quality of Sugar Beet in Sandy Soil",2018,INCLUDE,K-humate applied to sugar beet at different N levels; sugar beet yield reported; HA isolated within N levels; factorial acceptable,Journal of Plant Production
10.24925/turjaf.v8i8.1763-1772.3504,"Effects of Leonardite and Mineral Fertilizer Applications on Plant Growth and Soil Quality of Garlic",2020,INCLUDE,Leonardite (HA source) + mineral fertilizer applied to garlic; plant growth and soil quality reported; HA isolated within fertilizer level; INCLUDE for yield rows,Turkish Journal of Agriculture — Food Science and Technology
10.13080/z-a.2019.106.039,"A complex assessment of mineral fertilizers with humic substances in an agroecosystem of acid soil",2019,INCLUDE,Humic substances applied with mineral fertilizers in acid soil; yield reported; HA isolated within fertilizer levels; factorial acceptable,Zemdirbyste-Agriculture
10.3390/agronomy13081958,"Humate-Coated Urea as a Tool to Decrease Nitrogen Losses in Soil",2023,INCLUDE,Humate-coated urea applied to crops; yield likely reported alongside N loss measurements; HA is the isolated variable (humate-coated vs plain urea); INCLUDE,Agronomy
10.1186/s43170-022-00102-w,"Sustainable production through biostimulants under fruit orchards",2022,EXCLUDE,Review of biostimulants under fruit orchards; no primary yield trial data,CABI Agriculture and Bioscience
10.1590/1983-21252017v30n116rc,"Humic Acid on Germination and Vigor of Corn Seeds",2017,EXCLUDE,Primary outcomes are germination and seed vigor not harvestable yield; pre-establishment trait; off-target outcome,Revista Caatinga
10.3390/agronomy15020410,"Humic Substances: Bridging Ecology and Agriculture for a Greener Future",2025,EXCLUDE,Review synthesizing HA mechanisms and ecology; no primary experiment data,Agronomy
10.1186/s42269-020-00318-8,"Effect of soil application of humic acid and bio-humic on yield and fruit quality of Kalamata olive trees",2020,INCLUDE,HA and bio-humic applied to Kalamata olive trees; olive fruit yield reported; HA isolated vs control; tree crop acceptable,Bulletin of the National Research Centre
10.1007/s11104-022-05634-8,"Combination of humic biostimulants with a microbial inoculum improves lettuce productivity nutrient uptake and primary and secondary metabolism",2022,EXCLUDE,HA + microbial inoculum combined; HA cannot be isolated from microbial inoculant; intervention confounded,Plant and Soil
10.1186/s42269-019-0067-0,"Enhancement quality and quantity of faba bean plants grown under sandy soil conditions by nicotinamide and/or humic acid application",2019,INCLUDE,HA applied to faba bean in sandy soil alongside nicotinamide; if factorial has HA-alone arm: INCLUDE; likely factorial with 4 treatment levels; INCLUDE for HA vs no-HA rows,Bulletin of the National Research Centre
10.1002/jpln.202300280,"Humalite enhances the growth grain yield and protein content of wheat by improving soil nitrogen availability and nutrient uptake",2024,INCLUDE,Humalite (HA product) applied to wheat; grain yield reported as primary outcome; HA isolated vs control; OA J Plant Nutrition Soil Science,Journal of Plant Nutrition and Soil Science
10.2478/v10046-012-0028-6,"Effect of Humic Substances on Nutrient Status and Yield of Onion in Field Conditions",2012,INCLUDE,HA applied to onion in field conditions; yield and nutrient status reported; HA isolated vs control; field experiment,Proceedings of the Latvian Academy of Sciences Section B
10.14393/bj-v38n0a2022-58854,"Organic onion growth yield and storage improved by foliar sprays of microalgae and fulvic acid as a natural biofertilizer",2022,EXCLUDE,Microalgae + FA applied together; HA cannot be isolated from microalgae biofertilizer; intervention confounded,Bioscience Journal
10.30910/turkjans.471297,"Investigating Combination and Individual Impact of Phosphorus and Humic Acid on Yield of Wheat and Some Soil Properties",2018,INCLUDE,Phosphorus and HA applied individually and in combination to wheat; if factorial design has HA-alone arm (HA without extra P): INCLUDE; yield of wheat reported,Turk Tarim ve Doga Bilimleri Dergisi
10.5219/1805,"Verification of the humic substances and PGPB biostimulants beneficial effects on the potato yield and bioactive substances content",2023,UNSURE,HA + PGPB biostimulants applied to potato; yield reported; if factorial has HA-alone arm vs no-HA: INCLUDE; needs full text to confirm HA isolation,Potravinarstvo Slovak Journal of Food Sciences
10.1038/s41598-022-21997-5,"Effects of foliar application of humic acid extracts and indole acetic acid on important growth indices of canola",2022,EXCLUDE,Primary outcomes are growth indices not yield; HA + IAA applied to canola; 'important growth indices' suggests plant height/leaf area not grain yield,Scientific Reports
10.1186/s12870-024-04863-6,"Applications of humic and fulvic acid under saline soil conditions to improve growth and yield in barley",2024,INCLUDE,HA and FA applied to barley under saline conditions; yield reported; HA isolated vs control; OA BMC Plant Biology,BMC Plant Biology
10.1186/s12870-024-05184-4,"Mitigation of drought stress in maize and sorghum by humic acid: differential growth and physiological responses",2024,INCLUDE,HA applied to maize and sorghum under drought; growth and physiological responses reported; HA isolated vs control; OA BMC Plant Biology; INCLUDE for yield rows,BMC Plant Biology
10.1007/s11104-015-2785-x,"The role of exogenous humic and fulvic acids in iodine biofortification in spinach",2015,EXCLUDE,Primary outcome is iodine biofortification not yield; HA/FA applied but outcome is nutritional quality not mass yield; off-target outcome,Plant and Soil
10.3390/agronomy13061581,"The Effective Combination of Humic Acid Phosphate Fertilizer Regulating the Form Transformation of Phosphorus and the Chemical and Microbial Mechanism of Its Phosphorus Availability",2023,EXCLUDE,HA + phosphate fertilizer on phosphorus availability; primary outcome is soil P chemistry not crop yield; off-target outcome,Agronomy
10.3906/tar-1302-62,"Effects of different organic materials on forage yield and quality of silage maize",2013,EXCLUDE,Organic materials applied to silage maize; HA is one of many organic inputs; primary comparison is organic material types not HA isolation; confounded,Turkish Journal of Agriculture and Forestry
10.3390/f9060360,"Effects of Oxidized Brown Coal Humic Acid Fertilizer on the Relative Height Growth Rate of Three Tree Species",2018,EXCLUDE,Primary outcome is tree height growth rate not harvestable yield; forest tree species not agricultural crops; off-target population and outcome,Forests
10.1186/s13007-019-0469-x,"A simple technique for assessing the cuticular diffusion of humic acid biostimulants",2019,EXCLUDE,Methodological study on HA cuticular diffusion; no yield trial; off-target,Plant Methods
10.3390/agronomy13031013,"Foliar Application of Humic Acid with Fe Supplement Improved Rice Soybean and Lettuce Iron Fortification",2023,EXCLUDE,Primary outcome is Fe fortification (nutritional quality) not yield; HA + Fe applied for biofortification purpose; off-target outcome,Agriculture
